name,rating,text,positive
Pipeline Trail,5,"We've been here on some various walks and recently we enjoyed Pipeline integrated with Eddie's Lookout.
After the rains and at this time of year the wild flowers are blooming.
The Cicadas are in full deafening force in a couple of spots.
There's plenty of breathtaking views up and down and the water filling the pools after the rain makes for a refreshing dip in some spots",True
Pipeline Trail,4,Nice rainforest scenery here in this difficult terrain with limited access. That's also the reason why this track is of interest! The watery environment is very appealing due to the lush green foliage and rocky sandstone outcrops.,False
Pipeline Trail,4,It's an easy track and a beautiful place to visit,False
Pipeline Trail,4,"Really awesome place for hikers and to have a nice picnic with friends, how ever wouldn’t suggest just jumping the water do check first what’s at the bottom but other then that it’s a great little spot",False
Pipeline Trail,5,Nice long wide track with plenty of sun. Takes a few hours to complete it.,True
South Boundary Road Hiking Trail,5,"Great hiking and mountain biking trail. No water along the way, and some decent climbs in both directions.",True
South Boundary Road Hiking Trail,5,"I love the South Boundary trail. Vast and serene. Beautiful trees, birds and wildlife in every direction. Trails aren't too too bad for running. A place that's hard to describe and can be most appreciated by seeing it for yourself.",True
South Boundary Road Hiking Trail,4,Yes this is a very good hiking trail! I did kokoda on this one!,False
South Boundary Road Hiking Trail,5,Nice place,True
South Boundary Road Hiking Trail,5,Perfect,True
Dights Falls Loop Trail,5,discovered this place recently and it’s one of my favourite parks to go now and take a break from the busy city 😍,True
Dights Falls Loop Trail,5,Dights Falls Loop Trail is a wonderful short loop trail that links to many other walks around the Yarra River.,True
Dights Falls Loop Trail,3,"A lot of closed paths, Dight Falls is falling apart!",False
Dights Falls Loop Trail,5,Great walking track 🌲🌲🌲🌿,True
Temptation Creek Trail,5,"I did the loop that goes from 159 Farnell Avenue, via Loftus Loop Track and Temptation Creek. The trail was amazing! You can even walk all the way up to the waterfall. Once you get all the way down, just before you start the ascent there is a stream of water that goes in the middle of the path. If you're coming through the Loftus Loop track side, before you cross this stream, on your right is a small opening that leads upwards. Follow this trail up and you will be able to see the little waterfall. Quite the view!! If it had rained the previous couple of days, the track can be pretty boggy so I highly suggest wearing waterproof boots if this is the case.",True
Temptation Creek Trail,5,"Love this trail. Depending on which turns you make, you can make your walk as short or as long as you like.",True
Xanthorrhoea Trail,5,"As usual this is an unmarked trail. Definitely download the map because there are multiple places where paths overlap and you will probably get horribly lost.
Despite that, this is probably one of the best near-Perth walks to do. It has some very steep sections at the start and finish to really test you, and gentle and moderate sections. Most of the time the paths are very easy to follow, although there are a few narrow parts. Given the recent rain the paths are muddy in places, but not terrible. Water is flowing in all the gullies and creeks, which provides a beautiful soundscape, as do the many different bird songs. The views across the flood plain to Perth are glorious as are the views to the hills.
If you enjoy being challenged without being smashed, this is a great walk.",True
Xanthorrhoea Trail,2,"Nice little hike with city views between the eucalyptus, lots of xanthorreas, no rainy day would be great as there are few steeps and curves, hiking shoes ✅July-Sep would be a great time, few parking spots, didn’t find any public toilets.",False
Xanthorrhoea Trail,1,This is NOT a bike trail. Way too steep to ride 40%. This is not really a good walking trail either as their is virtually no shade,False
Xanthorrhoea Trail,3,"The very small area was FULL of native flowers. That was pretty special. The area itself needs restoration work, i think. And better signage etc. Also, gladiolas were evident and they do not belong to that ecosytem. Close to suburbia which is great but puts it under threat which is a concern.",False
Xanthorrhoea Trail,5,"A great little trail with outstanding views of the city, with rolling hills",True
Somerset trail,5,"Long but beautiful hike through a number of different and beautiful environments with a stunning view out to Somerset Dam about half way along. Well worth the 13km walk. Path is mostly easy to trek in dry weather, may be a bit too muddy in wetter weather.",True
Somerset trail,3,"Long circuit to the top and back fairly easy, view at the top was okay 👍",False
Somerset trail,5,"My friend and I went to this track this morning, starting from around 9am and finished at 12:30noon. It gets super hot and stuffy around 11am. I would highly recommend you to start early like 7am. End up, we realised it was 38 degree!

It is a fairly easy track with flat paths. There are plenty of shades at most of the track. We spotted a water dragon, a snake, and a blue tongue lizard.

Overall, it is a fun track with beautiful view at the look out, just avoid the mid day sun!",True
