name,rating,text,positive
Main Yarra Trail Kew,5,"Nov 2023 great for bike riding and walking watch out for closed walk bridges and ramps due to construction. So the you can’t do the whole trail at the moment. But nice wide trials. Plus you can walk past the Collingwood non-profit farm. I even heard a kookaburra when I was there.
Only saw one public toilet near the farm.
I would ride this again.",True
Main Yarra Trail Kew,5,Sweet path. Sundown  wattles let line the river in Winter. Path not insanely wide but wide enough in most places. A lot of bikers/walkers use it. Paths usually lined with nice trees & grass,True
Main Yarra Trail Kew,5,"Yes it's always good exercise walking or cycling  on this trail the bat's come out at night, 🐠 jump out of the water sometimes  the trail has access to south Yarra side which is a bonus :¥",True
Main Yarra Trail Kew,5,"Great bike path with hills and downward runs.  Took from city Docklands to Capital City Trail via Fitzroy North back to city.
Good scenic views.",True
Main Yarra Trail Kew,5,"Great trail for walking, cycling, running. Flat and great view along the river bank.   Enjoy the early morning ride. Will be crowded like all other trails day time weekends.",True
Glenthorne National Park — Ityamaiitpinna Yarta,5,"We visited Glenthorne on a whim, after driving around and randomly exploring Adelaide and its surrounds.

We had no idea what to expect so went in blind, but ended up loving the hour or so we spent there. The park proudly embraces indigenous culture, informs and educates about the local flora and fauna, and contains an awesome playground/BBQ area for families and kids, as well as offering walking tracks through the grounds.

Usually, when I see the very typical dry and barren Aussie grasslands, I'm not too enthused. On this occasion, however, being in the midst of it and away from society (to a reasonable extent, anyway), it was surprisingly peaceful and serene. I could have sat on a rock for hours, just watching the birds and enjoying the sunshine.

The playground is truly one-of-a-kind and would have been a regular haunt had my kids grown up in the area. Everything is a clever blend of steel and timber, giving it a very colonial, 'this belongs here' feel. I was very impressed. For the parents, there's some covered seating, clean toilets, and the aforementioned BBQs. And, should seating be limited on a busy day, the ample shady trees can help you out.

Overall, Glenthorne NP was a lucky find. It gave us an unexpected detox from the hustle-and-bustle, and I say that with a certain level of mirth, considering we were in Adelaide enjoying a holiday! Nevertheless, peace and quiet is always a good thing, as is swapping people for animals, now and again. Glenthorne is a lovely spot, please see it for yourself when the timing and weather suits.",True
Glenthorne National Park — Ityamaiitpinna Yarta,5,Great park with some great facilities for bbq (bring your own rubbish bags and take away to dispose) fun for the whole family to get involved and make a day of it.,True
Glenthorne National Park — Ityamaiitpinna Yarta,5,"Amazing new adventure playground with so many activities for the kids! Flying foxes, slides, swings, climbing structures and a nice lawned area.
Heaps of parking, public toilets and multiple BBQ areas make this a great place for the family.
If you're worried about your children experiencing a real-world environment with rocks and things to climb on, then stick to the padded indoor play cafes.",True
Glenthorne National Park — Ityamaiitpinna Yarta,5,"Amazing Playspace for the whole family! ✨ So many climbing experiences for kids to explore. The tracks around are great for kids bikes and mtbs. The water hole is lovely, we even saw a baby turtle!
Highly recommended Signature coffee truck! 🙏",True
Glenthorne National Park — Ityamaiitpinna Yarta,5,"This is a great park.  My son has been on a number of walks with scouts and the new playground is an absolute hit! Might be a tad hot in summer though,  not much shade...
I love all the different creek crossings.
There's great bbq areas and sensor lights at night.
It's great that you can bring dogs in.
I'm looking forward to doing the bird walk.",True
Headland Park Walking Track,4,"The opening times to the gates of this part of the B2M trail need to be noted as they close after dark. It's a wonderful connection to Middle Head to the Beach as it declines through the bush. The oval at the bottom has parking, toilets and water facilities.",False
Headland Park Walking Track,4,"Very cool stairs through the forest. Pass by martial warning not to look behind the fence (by a one hundred year old law it seems). With the right lighting, the path is magical. OK, the way up is rather challenging...",False
Headland Park Walking Track,5,Beautiful run track with stairs,True
Headland Park Walking Track,5,Love love love it absolutely beautiful and actually relaxing!!!,True
Headland Park Walking Track,4,It's a nice track but the stairs towards the Georges Heights might not be for everyone who wants an easy walk.,False
Harrington Forest,4,"Beautiful and unassuming views along several trails winding through Harrington Forest which are connected to different neighbourhoods and lookouts. In 2021, a Bushcare group also installed 10 painted nest boxes and created an online trail map for hikers to find while exploring. Several bird species, kangaroo, rabbits, and other wildlife like snakes can be spotted. No bins available so be sure to keep trash with you.",False
Harrington Forest,2,"Nothing special, 1 paved track with plenty of kangaroo dropping for your shoes. Throughout the walk you can still see residential areas which takes the remoteness vibe away from the walk. You’ll be able to see a bunch of kangaroos hopping across but that’s about it.",False
Harrington Forest,4,"Love this place, it’s so beautiful and perfect for a nice walk. I seen a kangaroo as well while walking. Such a beautiful atmosphere and very peaceful.",False
Harrington Forest,5,"Is a beautiful place to take a walk, go for a run or just wonder around with the dog.",True
Harrington Forest,4,Sweet....,False
Sturt Gorge River Trail Trailhead,5,"These trails are excellent for both hiking and mountain biking, offering an enjoyable experience even on winter days when snakes aren't a concern. You have the option to stay along the river or explore the uphill paths. The sound of kookaburras laughing adds to the charm, and there's a wide variety of birds to observe.",True
Sturt Gorge River Trail Trailhead,5,Hands down the best creek trail ever.  It is a trail that is rough around the edges and caution is needed in certain areas that are hard to navigate.  To do the full length of the creek trail crossings of the creek are essential and when the creek is full and flowing you will get your feet a bit wet. Great for the healthy don't need to be super fit.,True
Sturt Gorge River Trail Trailhead,5,"This is the flat entry to the gorge. The water was too high to walk to the rapids, explored some side tracks instead.
The dropstones in the tillite are from Antarctica, they were deposited before Australia broke off, opening the Southern Ocean.",True
